Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist co op (Spring/Summer 2023),$29.00 Per Hour(Employer est.),4.2,Johnson & Johnson,"Raritan, NJ",-1,-1,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,$78K - $116K (Glassdoor est.),2.9,UMortgage,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist (Level I - II),$73K - $113K (Glassdoor est.),3.6,"BEN Group, Inc","Provo, UT",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$80K - $121K (Glassdoor est.),3.7,Big Fish Games,"Las Vegas, NV",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist - All Levels,$59K - $100K (Glassdoor est.),4.5,Interclypse Inc,"Reston, VA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$81K - $117K (Glassdoor est.),3.6,PNC Financial Services Group,"Cleveland, OH",-1,-1,-1,-1,-1,-1,-1,-1
Customer Product Data Scientist,-1,3.4,Treehouse Foods,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Junior Data Scientist,$80K - $117K (Glassdoor est.),4.2,Logistics Management Institute,"Camp Lejeune, NC",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$95K - $150K (Employer est.),5.0,Grey Matters Defense Solutions,"Englewood, CO",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,-1,4.2,University of Florida,Florida,-1,-1,-1,-1,-1,-1,-1,-1
"Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)",$85K - $134K (Glassdoor est.),3.6,TikTok,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist Co-Op (Spring 2023),$65K - $108K (Glassdoor est.),3.9,HERSHEY MX,"Hershey, PA",-1,-1,-1,-1,-1,-1,-1,-1
Data Visualization Scientist,$59K - $80K (Glassdoor est.),3.6,Optimal Inc.,"Dearborn, MI",-1,-1,-1,-1,-1,-1,-1,-1
Machine Learning Data Scientist,$82K - $117K (Glassdoor est.),4.2,HP,"Corvallis, OR",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$140K - $175K (Employer est.),-1,Spade,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
Forensic Scientist Data Review I (NDOT),$44K - $70K (Glassdoor est.),3.8,Abbott Laboratories,"Gretna, LA",-1,-1,-1,-1,-1,-1,-1,-1
Decision Scientist,$86K - $119K (Glassdoor est.),4.9,KUNGFU.AI,"Austin, TX",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$81K - $130K (Glassdoor est.),5.0,Markesman Group,"Fort Meade, MD",-1,-1,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,$69K - $108K (Glassdoor est.),-1,Tek Ninjas,"Dallas, TX",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist (Contract),$76K - $108K (Glassdoor est.),4.8,Audere,"Seattle, WA",-1,-1,-1,-1,-1,-1,-1,-1
Data Labeler - Contract,$20.00 - $25.00 Per Hour(Employer est.),4.8,EvolutionIQ,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
Data Strategist,$72K - $103K (Glassdoor est.),4.2,Booz Allen Hamilton,"Bethesda, MD",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$87K - $141K (Glassdoor est.),3.9,WTW,"White Plains, NY",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$79K - $122K (Glassdoor est.),-1,Tek Ninjas,"Cincinnati, OH",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$60.00 - $75.00 Per Hour(Employer est.),3.5,Largeton Inc,Remote,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,-1,-1,SWI,"Bellevue, WA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist- 295013,$89K - $126K (Glassdoor est.),4.1,Grainger,"Lake Forest, IL",-1,-1,-1,-1,-1,-1,-1,-1
Biomedical Data Scientist,$74K - $121K (Glassdoor est.),3.2,Retia Medical,"White Plains, NY",-1,-1,-1,-1,-1,-1,-1,-1
Associate Data Scientist,-1,3.1,Dyson,"Chicago, IL",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist Apprentice,$61K - $97K (Glassdoor est.),3.9,Toyota,"Plano, TX",-1,-1,-1,-1,-1,-1,-1,-1
