Job Title,Salary Estimate,Rating,Company Name,Location,State,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Per hour salary,Min_salary,Max_salary,Avg Salary
Data Scientist co op (Spring/Summer 2023),$29.00 Per Hour(Employer est.),4.2,Johnson & Johnson,Raritan, NJ,-1,-1,-1,-1,-1,-1,-1,-1,1,29.0,29.0,29.0
Jr. Data Scientist,$78K - $116K (Glassdoor est.),2.9,UMortgage,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,-1,0,78.0,116.0,97.0
Data Scientist (Level I - II),$73K - $113K (Glassdoor est.),3.6,"BEN Group, Inc",Provo, UT,-1,-1,-1,-1,-1,-1,-1,-1,0,73.0,113.0,93.0
Data Scientist,$80K - $121K (Glassdoor est.),3.7,Big Fish Games,Las Vegas, NV,-1,-1,-1,-1,-1,-1,-1,-1,0,80.0,121.0,100.5
Data Scientist - All Levels,$59K - $100K (Glassdoor est.),4.5,Interclypse Inc,Reston, VA,-1,-1,-1,-1,-1,-1,-1,-1,0,59.0,100.0,79.5
Data Scientist,$81K - $117K (Glassdoor est.),3.6,PNC Financial Services Group,Cleveland, OH,-1,-1,-1,-1,-1,-1,-1,-1,0,81.0,117.0,99.0
Junior Data Scientist,$80K - $117K (Glassdoor est.),4.2,Logistics Management Institute,Camp Lejeune, NC,-1,-1,-1,-1,-1,-1,-1,-1,0,80.0,117.0,98.5
Data Scientist,$95K - $150K (Employer est.),5.0,Grey Matters Defense Solutions,Englewood, CO,-1,-1,-1,-1,-1,-1,-1,-1,0,95.0,150.0,122.5
"Data Scientist, University Graduate (Data Analysis TikTok)- 2023 Start (BS/MS)",$85K - $134K (Glassdoor est.),3.6,TikTok,Los Angeles, CA,-1,-1,-1,-1,-1,-1,-1,-1,0,85.0,134.0,109.5
Data Scientist Co-Op (Spring 2023),$65K - $108K (Glassdoor est.),3.9,HERSHEY MX,Hershey, PA,-1,-1,-1,-1,-1,-1,-1,-1,0,65.0,108.0,86.5
Data Visualization Scientist,$59K - $80K (Glassdoor est.),3.6,Optimal Inc.,Dearborn, MI,-1,-1,-1,-1,-1,-1,-1,-1,0,59.0,80.0,69.5
Machine Learning Data Scientist,$82K - $117K (Glassdoor est.),4.2,HP,Corvallis, OR,-1,-1,-1,-1,-1,-1,-1,-1,0,82.0,117.0,99.5
Data Scientist,$140K - $175K (Employer est.),-1.0,Spade,New York, NY,-1,-1,-1,-1,-1,-1,-1,-1,0,140.0,175.0,157.5
Forensic Scientist Data Review I (NDOT),$44K - $70K (Glassdoor est.),3.8,Abbott Laboratories,Gretna, LA,-1,-1,-1,-1,-1,-1,-1,-1,0,44.0,70.0,57.0
Decision Scientist,$86K - $119K (Glassdoor est.),4.9,KUNGFU.AI,Austin, TX,-1,-1,-1,-1,-1,-1,-1,-1,0,86.0,119.0,102.5
Data Scientist,$81K - $130K (Glassdoor est.),5.0,Markesman Group,Fort Meade, MD,-1,-1,-1,-1,-1,-1,-1,-1,0,81.0,130.0,105.5
Jr. Data Scientist,$69K - $108K (Glassdoor est.),-1.0,Tek Ninjas,Dallas, TX,-1,-1,-1,-1,-1,-1,-1,-1,0,69.0,108.0,88.5
Data Scientist (Contract),$76K - $108K (Glassdoor est.),4.8,Audere,Seattle, WA,-1,-1,-1,-1,-1,-1,-1,-1,0,76.0,108.0,92.0
Data Labeler - Contract,$20.00 - $25.00 Per Hour(Employer est.),4.8,EvolutionIQ,New York, NY,-1,-1,-1,-1,-1,-1,-1,-1,1,20.0,25.0,22.5
Data Strategist,$72K - $103K (Glassdoor est.),4.2,Booz Allen Hamilton,Bethesda, MD,-1,-1,-1,-1,-1,-1,-1,-1,0,72.0,103.0,87.5
Data Scientist,$87K - $141K (Glassdoor est.),3.9,WTW,White Plains, NY,-1,-1,-1,-1,-1,-1,-1,-1,0,87.0,141.0,114.0
Data Scientist,$79K - $122K (Glassdoor est.),-1.0,Tek Ninjas,Cincinnati, OH,-1,-1,-1,-1,-1,-1,-1,-1,0,79.0,122.0,100.5
Data Scientist,$60.00 - $75.00 Per Hour(Employer est.),3.5,Largeton Inc,Remote,Remote,-1,-1,-1,-1,-1,-1,-1,-1,1,60.0,75.0,67.5
Data Scientist- 295013,$89K - $126K (Glassdoor est.),4.1,Grainger,Lake Forest, IL,-1,-1,-1,-1,-1,-1,-1,-1,0,89.0,126.0,107.5
Biomedical Data Scientist,$74K - $121K (Glassdoor est.),3.2,Retia Medical,White Plains, NY,-1,-1,-1,-1,-1,-1,-1,-1,0,74.0,121.0,97.5
Data Scientist Apprentice,$61K - $97K (Glassdoor est.),3.9,Toyota,Plano, TX,-1,-1,-1,-1,-1,-1,-1,-1,0,61.0,97.0,79.0
